2020-03-04 08:43:06,"b""RT @GordonGChang: Now that Beijing is pushing the notion that the #US is the source of #COVID19, it's time for the #Trump administration to\xe2\x80\xa6"""
2020-03-04 08:43:06,b'RT @WHO: Personal protective equipment - or PPE - includes:\n\xe2\x80\xa2 gloves\n\xe2\x80\xa2 medical masks\n\xe2\x80\xa2 respirators\n\xe2\x80\xa2 goggles\n\xe2\x80\xa2 face shields\n\xe2\x80\xa2 gowns\n\xe2\x80\xa2 apron\xe2\x80\xa6'
2020-03-04 08:43:06,b'RT @elleysowerby: For general information on #coronavirus go to https://t.co/NPwwyBdXuR\n\nIf you are concerned that you may have coronavirus\xe2\x80\xa6'
2020-03-04 08:43:05,b'I saw a teacher give a kid a high five with his hand backwards today because #coronavirus good lord calm down.'
2020-03-04 08:43:05,"b""RT @DDNational: PLEASE RETWEET -\nDON'T PANIC!\n#CoronaVirus : Basic Protective Measures\n \nIf you have fever,cough and difficulty breathing,\xe2\x80\xa6"""
2020-03-04 08:43:04,"b""RT @RupertsConscie1: @7NewsAdelaide When you can't trust your own Gov't to keep you safe, who do you turn to?\n\nThe police? The AFP? The Sen\xe2\x80\xa6"""
2020-03-04 08:43:04,b'RT @Justsaytruthnow: The @POTUS Donates Fourth Quarter Salary to Health and Human Services @HHSGov to Fight #Coronavirus \n\nWhile @realDonal\xe2\x80\xa6'
2020-03-04 08:43:04,b'#COVID19india single  case of Corona Virus in India and  people are crazy  for masks!!\nEvery day 300 plus people di\xe2\x80\xa6 https://t.co/NkJ5CF6WR7'
2020-03-04 08:43:04,b'RT @HanuNews: Take care friends #CoronaVirus https://t.co/VGqXpJSrnp'
2020-03-04 08:43:04,"b""RT @RichardDiNatale: I'm back in Canberra for #senateestimates today, to quiz the government and the Department of Health on their response\xe2\x80\xa6"""
2020-03-04 08:43:04,b'RT @ABC7: #CORONAVIRUS BREAKTHROUGH? UC Riverside researchers help to identify crucial protein linked to potential vaccine https://t.co/FD2\xe2\x80\xa6'
